mvmt_id,node_id,name,ib_link_id,start_ib_lane,end_ib_lane,ob_link_id,start_ob_lane,end_ob_lane,type,penalty,capacity,ctrl_type
292,120,,100565 120,1,1,120 100565,1,1,uturn,,,none
293,120,,104447 120,1,1,120 104447,1,1,uturn,,,none
294,121,,100499 121,1,1,121 100499,1,1,uturn,,,none
295,121,,100671 121,1,1,121 100671,1,1,uturn,,,none
296,122,,100507 122,1,1,122 100507,1,1,uturn,,,none
297,123,,100308 123,1,1,123 100308,1,1,uturn,,,none
298,123,,100494 123,1,1,123 100494,1,1,uturn,,,none
299,123,,100526 123,1,1,123 100526,1,1,uturn,,,none
300,124,,100502 124,1,1,124 100502,1,1,uturn,,,none
301,124,,100510 124,1,1,124 100510,1,1,uturn,,,none
302,124,,100511 124,1,1,124 100511,1,1,uturn,,,none
303,124,,100514 124,1,1,124 100514,1,1,uturn,,,none
304,125,,100504 125,1,1,125 100504,1,1,uturn,,,none
305,125,,100508 125,1,1,125 100508,1,1,uturn,,,none
306,125,,100509 125,1,1,125 100509,1,1,uturn,,,none
307,125,,100517 125,1,1,125 100517,1,1,uturn,,,none
308,126,,100309 126,1,1,126 100309,1,1,uturn,,,none
309,126,,100495 126,1,1,126 100495,1,1,uturn,,,none
310,126,,100496 126,1,1,126 100496,1,1,uturn,,,none
311,127,,100515 127,1,1,127 100515,1,1,uturn,,,none
312,128,,100527 128,1,1,128 100527,1,1,uturn,,,none
313,128,,100529 128,1,1,128 100529,1,1,uturn,,,none
314,128,,100531 128,1,1,128 100531,1,1,uturn,,,none
315,129,,100528 129,1,1,129 100528,1,1,uturn,,,none
316,129,,100534 129,1,1,129 100534,1,1,uturn,,,none
317,130,,101889 130,1,1,130 101889,1,1,uturn,,,none
318,130,,101891 130,1,1,130 101891,1,1,uturn,,,none
319,130,,101894 130,1,1,130 101894,1,1,uturn,,,none
320,131,,101891 131,1,1,131 101891,1,1,uturn,,,none
321,131,,101892 131,1,1,131 101892,1,1,uturn,,,none
322,131,,101985 131,1,1,131 101985,1,1,uturn,,,none
323,131,,102015 131,1,1,131 102015,1,1,uturn,,,none
324,132,,100254 132,1,1,132 100254,1,1,uturn,,,none
325,132,,101960 132,1,1,132 101960,1,1,uturn,,,none
326,133,,101913 133,1,1,133 101882,1,1,left,,,none
327,133,,101913 133,1,1,133 101889,1,1,thru,,,none
328,133,,101882 133,1,1,133 101882,1,1,uturn,,,none
329,133,,101889 133,1,1,133 101889,1,1,uturn,,,none
330,134,,100288 134,1,1,134 101911,1,1,left,,,none
331,134,,101911 134,1,1,134 101869,1,1,left,,,none
332,134,,100288 134,1,1,134 101869,1,1,thru,,,none
333,134,,101911 134,1,1,134 102000,1,1,thru,,,none
334,134,,100288 134,1,1,134 102000,1,1,right,,,none
335,134,,101911 134,1,1,134 100288,1,1,right,,,none
336,134,,101869 134,1,1,134 101869,1,1,uturn,,,none
337,134,,101911 134,1,1,134 101911,1,1,uturn,,,none
338,134,,102000 134,1,1,134 102000,1,1,uturn,,,none
339,135,,100011 135,1,1,135 100011,1,1,uturn,,,none
340,135,,100024 135,1,1,135 100024,1,1,uturn,,,none
341,135,,100025 135,1,1,135 100025,1,1,uturn,,,none
342,135,,100027 135,1,1,135 100027,1,1,uturn,,,none
343,136,,101746 136,1,1,136 101746,1,1,uturn,,,none
344,137,,101896 137,1,1,137 101896,1,1,uturn,,,none
345,138,,100264 138,1,1,138 100264,1,1,uturn,,,none
346,138,,101894 138,1,1,138 101894,1,1,uturn,,,none
347,138,,101898 138,1,1,138 101898,1,1,uturn,,,none
348,139,,100236 139,1,1,139 100236,1,1,uturn,,,none
349,139,,101766 139,1,1,139 101766,1,1,uturn,,,none
350,139,,101799 139,1,1,139 101799,1,1,uturn,,,none
351,140,,100210 140,1,1,140 100210,1,1,uturn,,,none
352,140,,101798 140,1,1,140 101798,1,1,uturn,,,none
353,141,,100748 141,1,1,141 100748,1,1,uturn,,,none
354,141,,101797 141,1,1,141 101797,1,1,uturn,,,none
355,142,,100742 142,1,1,142 100742,1,1,uturn,,,none
356,142,,100743 142,1,1,142 100743,1,1,uturn,,,none
357,142,,101820 142,1,1,142 101820,1,1,uturn,,,none
358,143,,100209 143,1,1,143 100209,1,1,uturn,,,none
359,143,,100244 143,1,1,143 100244,1,1,uturn,,,none
360,143,,101808 143,1,1,143 101808,1,1,uturn,,,none
361,143,,101812 143,1,1,143 101812,1,1,uturn,,,none
362,144,,101806 144,1,1,144 101806,1,1,uturn,,,none
363,144,,101807 144,1,1,144 101807,1,1,uturn,,,none
364,144,,101816 144,1,1,144 101816,1,1,uturn,,,none
365,144,,101874 144,1,1,144 101874,1,1,uturn,,,none
366,145,,100231 145,1,1,145 100231,1,1,uturn,,,none
367,145,,101748 145,1,1,145 101748,1,1,uturn,,,none
368,146,,100203 146,1,1,146 100203,1,1,uturn,,,none
369,146,,100269 146,1,1,146 100269,1,1,uturn,,,none
370,146,,101787 146,1,1,146 101787,1,1,uturn,,,none
371,147,,101789 147,1,1,147 101789,1,1,uturn,,,none
372,147,,101791 147,1,1,147 101791,1,1,uturn,,,none
373,148,,100246 148,1,1,148 100246,1,1,uturn,,,none
374,149,,101751 149,1,1,149 101751,1,1,uturn,,,none
375,149,,101754 149,1,1,149 101754,1,1,uturn,,,none
376,149,,101756 149,1,1,149 101756,1,1,uturn,,,none
377,150,,100744 150,1,1,150 100744,1,1,uturn,,,none
378,150,,100747 150,1,1,150 100747,1,1,uturn,,,none
379,150,,100749 150,1,1,150 100749,1,1,uturn,,,none
380,151,,100737 151,1,1,151 100737,1,1,uturn,,,none
381,151,,101752 151,1,1,151 101752,1,1,uturn,,,none
382,152,,100313 152,1,1,152 100313,1,1,uturn,,,none
383,152,,100730 152,1,1,152 100730,1,1,uturn,,,none
384,153,,100701 153,1,1,153 100701,1,1,uturn,,,none
385,153,,100704 153,1,1,153 100704,1,1,uturn,,,none
386,153,,100707 153,1,1,153 100707,1,1,uturn,,,none
387,154,,100226 154,1,1,154 100226,1,1,uturn,,,none
388,154,,100228 154,1,1,154 100228,1,1,uturn,,,none
389,154,,100229 154,1,1,154 100229,1,1,uturn,,,none
390,155,,101762 155,1,1,155 101762,1,1,uturn,,,none
391,155,,101784 155,1,1,155 101784,1,1,uturn,,,none
392,155,,102555 155,1,1,155 102555,1,1,uturn,,,none
393,156,,100227 156,1,1,156 100227,1,1,uturn,,,none
394,156,,101768 156,1,1,156 101768,1,1,uturn,,,none
395,156,,101771 156,1,1,156 101771,1,1,uturn,,,none
396,157,,100709 157,1,1,157 100709,1,1,uturn,,,none
397,157,,100711 157,1,1,157 100711,1,1,uturn,,,none
398,158,,100710 158,1,1,158 100710,1,1,uturn,,,none
399,158,,100713 158,1,1,158 100713,1,1,uturn,,,none
400,158,,100715 158,1,1,158 100715,1,1,uturn,,,none
401,159,,100727 159,1,1,159 100727,1,1,uturn,,,none
402,159,,101769 159,1,1,159 101769,1,1,uturn,,,none
403,160,,100724 160,1,1,160 100724,1,1,uturn,,,none
404,160,,100776 160,1,1,160 100776,1,1,uturn,,,none
405,160,,101755 160,1,1,160 101755,1,1,uturn,,,none
406,160,,102556 160,1,1,160 102556,1,1,uturn,,,none
407,161,,100167 161,1,1,161 100167,1,1,uturn,,,none
408,161,,100723 161,1,1,161 100723,1,1,uturn,,,none
409,161,,100752 161,1,1,161 100752,1,1,uturn,,,none
410,162,,100731 162,1,1,162 100731,1,1,uturn,,,none
411,162,,100734 162,1,1,162 100734,1,1,uturn,,,none
412,163,,100268 163,1,1,163 100268,1,1,uturn,,,none
413,163,,101936 163,1,1,163 101936,1,1,uturn,,,none
414,164,,100195 164,1,1,164 100195,1,1,uturn,,,none
415,164,,101898 164,1,1,164 101898,1,1,uturn,,,none
