lane_id,link_id,lane_num,allowed_uses,r_barrier,l_barrier,width
797,100219 101953,1,,,,
798,100219 101953,2,,,,
799,100219 101962,1,,,,
800,100219 101962,2,,,,
801,100220 100129,1,,,,
802,100220 101934,1,,,,
803,100220 39,1,,,,
804,100221 100108,1,,,,
805,100221 171,1,,,,
806,100222 100108,1,,,,
807,100222 100109,1,,,,
808,100222 100223,1,,,,
809,100222 100224,1,,,,
810,100223 100222,1,,,,
811,100223 169,1,,,,
812,100223 59,1,,,,
813,100224 100222,1,,,,
814,100224 170,1,,,,
815,100225 100227,1,,,,
816,100225 101765,1,,,,
817,100225 101765,2,,,,
818,100225 101767,1,,,,
819,100225 101767,2,,,,
820,100226 100704,1,,,,
821,100226 100711,1,,,,
822,100226 154,1,,,,
823,100227 100225,1,,,,
824,100227 101772,1,,,,
825,100227 156,1,,,,
826,100228 101774,1,,,,
827,100228 101775,1,,,,
828,100228 154,1,,,,
829,100229 101772,1,,,,
830,100229 154,1,,,,
831,100230 101757,1,,,,
832,100230 202,1,,,,
833,100231 101757,1,,,,
834,100231 145,1,,,,
835,100232 100176,1,,,,
836,100232 18,1,,,,
837,100233 100176,1,,,,
838,100233 199,1,,,,
839,100233 200,1,,,,
840,100234 100176,1,,,,
841,100234 100176,2,,,,
842,100234 100235,1,,,,
843,100234 101790,1,,,,
844,100234 101790,2,,,,
845,100234 200,1,,,,
846,100235 100234,1,,,,
847,100235 18,1,,,,
848,100236 101883,1,,,,
849,100236 139,1,,,,
850,100237 100168,1,,,,
851,100237 183,1,,,,
852,100238 100114,1,,,,
853,100238 63,1,,,,
854,100239 100114,1,,,,
855,100239 66,1,,,,
856,100240 100114,1,,,,
857,100240 100114,2,,,,
858,100240 100115,1,,,,
859,100240 100115,2,,,,
860,100240 100241,1,,,,
861,100240 100242,1,,,,
862,100241 100240,1,,,,
863,100241 100651,1,,,,
864,100241 174,1,,,,
865,100242 100240,1,,,,
866,100242 63,1,,,,
867,100243 100113,1,,,,
868,100243 63,1,,,,
869,100244 101809,1,,,,
870,100244 143,1,,,,
871,100245 101809,1,,,,
872,100245 195,1,,,,
873,100246 101795,1,,,,
874,100246 148,1,,,,
875,100247 100266,1,,,,
876,100247 100308,1,,,,
877,100248 100273,1,,,,
878,100248 100273,2,,,,
879,100248 100277,1,,,,
880,100248 100279,1,,,,
881,100249 100026,1,,,,
882,100249 100026,2,,,,
883,100249 100275,1,,,,
884,100249 100275,2,,,,
885,100249 100277,1,,,,
886,100249 100291,1,,,,
887,100250 100064,1,,,,
888,100250 100065,1,,,,
889,100250 100192,1,,,,
890,100250 100251,1,,,,
891,100251 100015,1,,,,
892,100251 100066,1,,,,
893,100251 100066,2,,,,
894,100251 100250,1,,,,
895,100252 100010,1,,,,
896,100252 100010,2,,,,
897,100252 100291,1,,,,
898,100252 100293,1,,,,
899,100253 100254,1,,,,
900,100253 100293,1,,,,
901,100253 100296,1,,,,
902,100253 101999,1,,,,
903,100254 100253,1,,,,
904,100254 100282,1,,,,
905,100254 132,1,,,,
906,100255 101844,1,,,,
907,100255 110,1,,,,
908,100256 100595,1,,,,
909,100256 80,1,,,,
910,100257 100595,1,,,,
911,100257 81,1,,,,
912,100258 100083,1,,,,
913,100258 55,1,,,,
914,100259 100083,1,,,,
915,100259 78,1,,,,
916,100260 100261,1,,,,
917,100260 100262,1,,,,
918,100260 101814,1,,,,
919,100260 101815,1,,,,
920,100261 100260,1,,,,
921,100261 188,1,,,,
922,100262 100260,1,,,,
923,100262 191,1,,,,
924,100263 100,1,,,,
925,100263 100588,1,,,,
926,100264 101895,1,,,,
927,100264 138,1,,,,
928,100265 101895,1,,,,
929,100265 23,1,,,,
930,100266 100247,1,,,,
931,100266 100555,1,,,,
932,100267 100555,1,,,,
933,100268 101901,1,,,,
934,100268 101930,1,,,,
935,100268 163,1,,,,
936,100268 29,1,,,,
937,100269 101903,1,,,,
938,100269 101904,1,,,,
939,100269 146,1,,,,
940,100269 165,1,,,,
941,100270 100121,1,,,,
942,100270 100129,1,,,,
943,100270 168,1,,,,
944,100271 101852,1,,,,
945,100271 101852,2,,,,
946,100271 176,1,,,,
947,100271 177,1,,,,
948,100272 101847,1,,,,
949,100272 101848,1,,,,
950,100272 176,1,,,,
951,100273 101855,1,,,,
952,100273 101855,2,,,,
953,100273 178,1,,,,
954,100273 179,1,,,,
955,100274 101844,1,,,,
956,100274 101845,1,,,,
957,100274 179,1,,,,
958,100275 100249,1,,,,
959,100275 100249,2,,,,
960,100275 101857,1,,,,
961,100275 101857,2,,,,
962,100275 178,1,,,,
963,100275 185,1,,,,
964,100276 100053,1,,,,
965,100276 100053,2,,,,
966,100276 180,1,,,,
967,100277 100248,1,,,,
968,100277 100249,1,,,,
969,100277 178,1,,,,
970,100278 101845,1,,,,
971,100278 101855,1,,,,
972,100278 179,1,,,,
973,100279 100248,1,,,,
974,100279 101844,1,,,,
975,100279 179,1,,,,
976,100280 100040,1,,,,
977,100280 100052,1,,,,
978,100280 180,1,,,,
979,100281 100053,1,,,,
980,100281 100053,2,,,,
981,100281 180,1,,,,
982,100282 100254,1,,,,
983,100282 101880,1,,,,
984,100282 101880,2,,,,
985,100282 102013,1,,,,
986,100283 100000,1,,,,
987,100283 101999,1,,,,
988,100283 182,1,,,,
989,100283 187,1,,,,
990,100284 100000,1,,,,
991,100284 100000,2,,,,
992,100284 182,1,,,,
993,100285 101764,1,,,,
994,100285 101877,1,,,,
995,100285 101877,2,,,,
996,100285 102001,1,,,,
997,100286 101887,1,,,,
998,100286 101888,1,,,,
999,100286 183,1,,,,
1000,100287 101871,1,,,,
1001,100287 101872,1,,,,
1002,100287 101879,1,,,,
