geometry_id,geometry
347,"LINESTRING(1511498 1006068,1512069.234 1006088.564)"
348,"LINESTRING(1511051 1001837,1510975.541 1001187.499)"
349,"LINESTRING(1511051 1001837,1511049.136 1002236.353)"
350,"LINESTRING(1511051 1001837,1512082.656 1001820.26)"
351,"LINESTRING(1513487 1003354,1513157 1004479)"
352,"LINESTRING(1513487 1003354,1512581 1004259)"
353,"LINESTRING(1513487 1003354,1514791.003 1003618.917)"
354,"LINESTRING(1513487 1003354,1513411.468 1002222.93)"
355,"LINESTRING(1516742 1002763,1516767.053 1003565.164)"
356,"LINESTRING(1516742 1002763,1516090.918 1003179.883)"
357,"LINESTRING(1516742 1002763,1516765.268 1002149.878)"
358,"LINESTRING(1516742 1002763,1517379.487 1003097.192)"
359,"LINESTRING(1507835 1014080,1508385 1013003)"
360,"LINESTRING(1507835 1014080,1507507.337 1014192.243)"
361,"LINESTRING(1514975.206 1014624.498,1514817.26 1013044.503)"
362,"LINESTRING(1514975.206 1014624.498,1517505.138 1014796.782)"
363,"LINESTRING(1514975.206 1014624.498,1514792.533 1016844.284)"
364,"LINESTRING(1512669 1011350,1512137.892 1011072.391)"
365,"LINESTRING(1512669 1011350,1512840.869 1009722.131)"
366,"LINESTRING(1510425 1008369,1511706.831 1008155.604)"
367,"LINESTRING(1504634 1011825,1504599.475 1007983.779)"
368,"LINESTRING(1504634 1011825,1501826.827 1011805.886)"
369,"LINESTRING(1504634 1011825,1507116.942 1011696.454)"
370,"LINESTRING(1508498 1004706,1508485.469 1002263.197)"
371,"LINESTRING(1508498 1004706,1507089.546 1004719.485)"
372,"LINESTRING(1508498 1004706,1510248.951 1005947.941)"
373,"LINESTRING(1504447 1005152,1504256.639 1001201.411)"
374,"LINESTRING(1504447 1005152,1503144.241 1008289.266)"
375,"LINESTRING(1498810.326 998699.673,1496051.375 997920.675)"
376,"LINESTRING(1498810.326 998699.673,1499308.245 1001320.305)"
377,"LINESTRING(1493132 1024031,1493801.854 1030493.685)"
378,"LINESTRING(1493132 1024031,1496806.293 1024999.32)"
379,"LINESTRING(1493132 1024031,1493264.374 1021592.076)"
380,"LINESTRING(1500864 1022956,1496685.334 1022942.705)"
381,"LINESTRING(1500864 1022956,1504418.222 1022969.143)"
382,"LINESTRING(1500864 1022956,1500623.913 1020518.013)"
383,"LINESTRING(1508880 1018310,1508821 1016929)"
384,"LINESTRING(1508880 1018310,1510168.319 1018236.879)"
385,"LINESTRING(1508880 1018310,1507195.518 1019186.965)"
386,"LINESTRING(1500176 1019155,1500599 1018558)"
387,"LINESTRING(1500176 1019155,1498970.785 1018799.829)"
388,"LINESTRING(1500176 1019155,1499367 1019774)"
389,"LINESTRING(1496266 1020572,1496080.601 1020231.243)"
390,"LINESTRING(1496266 1020572,1496653.765 1021070.091)"
391,"LINESTRING(1496551 1020036,1496276.066 1020242.18)"
392,"LINESTRING(1496551 1020036,1496606.022 1020021.392)"
393,"LINESTRING(1496551 1020036,1496183.027 1019875.987)"
394,"LINESTRING(1497174.423 1019677.708,1497244.275 1019865.709)"
395,"LINESTRING(1497174.423 1019677.708,1497279.572 1019292.351)"
396,"LINESTRING(1499832 1012662,1497425.462 1012705.777)"
397,"LINESTRING(1499832 1012662,1498711.508 1014436.44)"
398,"LINESTRING(1499832 1012662,1501854.834 1012638.666)"
399,"LINESTRING(1499832 1012662,1499435.169 1008163.901)"
400,"LINESTRING(1494010 1013678,1493756.119 1019799.658)"
401,"LINESTRING(1494010 1013678,1496585.816 1014062.315)"
402,"LINESTRING(1494010 1013678,1493516.833 1010085.942)"
403,"LINESTRING(1492708.998 1002454.097,1497829.949 1002657.992)"
404,"LINESTRING(1492708.998 1002454.097,1490886.398 1002705.726)"
405,"LINESTRING(1521922 1012442,1521967.108 1012958.852)"
406,"LINESTRING(1521922 1012442,1522813.264 1011988.835)"
407,"LINESTRING(1518555 1009867,1517454.321 1010856.604)"
408,"LINESTRING(1518555 1009867,1519240.345 1008949.938)"
409,"LINESTRING(1519010 1014699,1517505.138 1014796.782)"
