link_id,name,from_node_id,to_node_id,directed,geometry_id,geometry,parent_link_id,dir_flag,length,grade,facility_type,capacity,free_speed,lanes,bike_facility,ped_facility,parking,allowed_uses,jurisdiction,row_width
1099,Plympton Street,720,628,1,660,,,1,22.901662745103202,,tertiary,,,2,,,,,,10.4;12.2
1100,Bow Street,615,628,1,661,,,1,59.16073550619194,,residential,,25 mph,1,,,,,,12.8
1101,Larchwood Drive,1068,1067,1,662,,,1,62.9272127184213,,residential,,,2,,,,,,10.4
1102,Larchwood Drive,1067,1068,1,662,,662,-1,62.9272127184213,,residential,,,2,,,,,,10.4
1103,Larchwood Drive,1067,992,1,663,,663,-1,80.6814079330318,,residential,,,2,,,,,,9.8
1104,Larchwood Drive,992,1067,1,663,,,1,80.6814079330318,,residential,,,2,,,,,,9.8
1105,Larchwood Drive,1040,1067,1,664,,,1,45.754830460360694,,residential,,,2,,,,,,10.4
1106,Larchwood Drive,1067,1040,1,664,,664,-1,45.754830460360694,,residential,,,2,,,,,,10.4
1107,Larchwood Drive,1068,1021,1,665,,,1,33.52609928918142,,residential,,,2,,,,,,10.4
1108,Larchwood Drive,1021,1068,1,665,,665,-1,33.52609928918142,,residential,,,2,,,,,,10.4
1109,Fresh Pond Lane,1021,1052,1,666,,666,-1,65.09890543393641,,residential,,,2,,,,,,11.6
1110,Fresh Pond Lane,1052,1021,1,666,,,1,65.09890543393641,,residential,,,2,,,,,,11.6
1111,Fresh Pond Lane,1068,1021,1,667,,,1,32.33870589476866,,residential,,,2,,,,,,11.6
1112,Fresh Pond Lane,1021,1068,1,667,,667,-1,32.33870589476866,,residential,,,2,,,,,,11.6
1113,Cardinal Medeiros Avenue,752,438,1,668,,,1,40.381457286054676,,tertiary,,25 mph,2,,,,,,14.9
1114,Cardinal Medeiros Avenue,438,752,1,668,,668,-1,40.381457286054676,,tertiary,,25 mph,2,,,,,,14.9
1115,Cardinal Medeiros Avenue,438,465,1,669,,669,-1,50.870345770753886,,tertiary,,25 mph,2,,,,,,14.9
1116,Cardinal Medeiros Avenue,465,438,1,669,,,1,50.870345770753886,,tertiary,,25 mph,2,,,,,,14.9
1117,Berkshire Place,752,440,1,670,,,1,107.56089658602907,,residential,,25 mph,1,,,,,,4.3
1118,Berkshire Place,440,752,1,670,,670,-1,107.56089658602907,,residential,,25 mph,1,,,,,,4.3
1119,Berkshire Place,754,440,1,671,,,1,41.14192756740625,,residential,,25 mph,1,,,,,,4.3
1120,Bow Street,626,715,1,672,,,1,33.90327497656295,,tertiary,,,2,,,,,,12.8
1121,Plymouth Street,438,463,1,673,,,1,106.74735526332084,,residential,,25 mph,1,,,,,,12.2
1122,Berkshire Place,440,463,1,674,,,1,35.33295698021363,,residential,,25 mph,1,,,,,,4.3
1123,Cardinal Medeiros Avenue,438,465,1,675,,,1,50.870345770753886,,tertiary,,25 mph,2,,,,,,14.9
1124,Cardinal Medeiros Avenue,465,438,1,675,,675,-1,50.870345770753886,,tertiary,,25 mph,2,,,,,,14.9
1125,Cardinal Medeiros Avenue,465,517,1,676,,676,-1,32.320973902562244,,tertiary,,25 mph,2,,,,,,14.9
1126,Cardinal Medeiros Avenue,517,465,1,676,,,1,32.320973902562244,,tertiary,,25 mph,2,,,,,,14.9
1127,Vandine Street,465,520,1,677,,677,-1,106.45794073046693,,residential,,25 mph,2,,,,,,7.9
1128,Vandine Street,520,465,1,677,,,1,106.45794073046693,,residential,,25 mph,2,,,,,,7.9
1129,Webster Avenue,439,385,1,678,,678,-1,69.183139846473,,residential,,25 mph,2,,,,,,15.2
1130,Webster Avenue,385,439,1,678,,,1,69.183139846473,,residential,,25 mph,2,,,,,,15.2
1131,Bristol Street,368,439,1,679,,,1,88.27907713832809,,residential,,25 mph,1,,,,,,10.1
1132,Webster Avenue,461,439,1,680,,,1,42.74566799425364,,residential,,25 mph,2,,,,,,15.2
1133,Webster Avenue,439,461,1,680,,680,-1,42.74566799425364,,residential,,25 mph,2,,,,,,15.2
1134,Broadway,332,342,1,681,,,1,65.14397674866059,,tertiary,,,2,,,,,,24.4
1135,Broadway,342,332,1,681,,681,-1,65.14397674866059,,tertiary,,,2,,,,,,24.4
1136,Broadway,310,342,1,682,,,1,81.75181870044575,,tertiary,,,2,,,,,,24.4
1137,Broadway,342,310,1,682,,682,-1,81.75181870044575,,tertiary,,,2,,,,,,24.4
1138,Moore Street,312,342,1,683,,,1,46.085778733611264,,residential,,25 mph,2,,,,,,10.4
