From,To,NumMidPoints,Shape_Points
100608,100606,1,"1520025 990610,"
100605,100608,6,"1522558 992640,1522554 992187,1522550 991738,1522547 991291,1522544 990935,1522544 990889,"
100606,100608,1,"1520025 990610,"
100611,100608,7,"1522508 988738,1522512 989033,1522516 989338,1522520 989652,1522521 989738,1522526 989945,1522533 990251,"
100608,100611,7,"1522533 990251,1522526 989945,1522521 989738,1522520 989652,1522516 989338,1522512 989033,1522508 988738,"
100621,100611,4,"1522452 984324,1522463 985529,1522490 986919,1522492 987117,"
100613,100612,1,"1523901 988226,"
100612,100613,1,"1523901 988226,"
100614,100613,3,"1525026 988205,1524973 988206,1524579 988213,"
100603,100614,7,"1527492 990814,1527559 990608,1527582 990510,1527617 990198,1527634 989758,1527629 989401,1527612 988373,"
100616,100614,4,"1527606 987574,1527606 987588,1527609 988063,1527609 988161,"
100613,100614,3,"1524579 988213,1524973 988206,1525026 988205,"
100614,100616,4,"1527609 988161,1527609 988063,1527606 987588,1527606 987574,"
100617,100616,1,"1527585 987004,"
102530,100616,7,"1528074 987097,1527857 987147,1527695 987190,1527682 987192,1527670 987193,1527651 987194,1527634 987194,"
100619,100617,4,"1527514 982905,1527522 983618,1527586 986306,1527587 986319,"
102533,100617,5,"1527095 986922,1527175 986908,1527277 986883,1527410 986848,1527526 986814,"
100616,100617,1,"1527585 987004,"
100641,100618,25,"1532484 982794,1531845 983444,1530947 984351,1530207 985161,1529823 985620,1529288 986225,1529246 986286,1529205 986349,1529196 986550,1529196 986731,1529197 986785,1529182 986813,1529090 986824,1529030 986825,1529017 986825,1528800 986829,1528578 986832,1528464 986833,1528421 986830,1528316 986823,1528237 986803,1528160 986777,1528079 986766,1527943 986765,1527875 986779,"
100617,100619,4,"1527587 986319,1527586 986306,1527522 983618,1527514 982905,"
100611,100621,4,"1522492 987117,1522490 986919,1522463 985529,1522452 984324,"
100623,100622,1,"1522396 979253,"
100622,100623,1,"1522396 979253,"
100633,100632,1,"1537479 971166,"
100632,100633,1,"1537479 971166,"
100636,100633,8,"1538815 975153,1539331 974634,1539356 974575,1539356 974495,1539358 974398,1539356 974222,1539363 973654,1539360 972059,"
100633,100636,8,"1539360 972059,1539363 973654,1539356 974222,1539358 974398,1539356 974495,1539356 974575,1539331 974634,1538815 975153,"
100640,100637,5,"1533178 981972,1535046 979774,1536765 977840,1537174 977421,1537341 977403,"
100637,100640,5,"1537341 977403,1537174 977421,1536765 977840,1535046 979774,1533178 981972,"
100618,100641,25,"1527875 986779,1527943 986765,1528079 986766,1528160 986777,1528237 986803,1528316 986823,1528421 986830,1528464 986833,1528578 986832,1528800 986829,1529017 986825,1529030 986825,1529090 986824,1529182 986813,1529197 986785,1529196 986731,1529196 986550,1529205 986349,1529246 986286,1529288 986225,1529823 985620,1530207 985161,1530947 984351,1531845 983444,1532484 982794,"
100647,100645,5,"1533022 995659,1533024 995720,1533028 995884,1533032 996094,1533035 996225,"
100650,100645,3,"1533501 997251,1533361 997198,1533226 997163,"
100602,100647,4,"1532395 993473,1532533 993452,1532649 993436,1532775 993421,"
100645,100647,5,"1533035 996225,1533032 996094,1533028 995884,1533024 995720,1533022 995659,"
100645,100650,3,"1533226 997163,1533361 997198,1533501 997251,"
100651,100650,2,"1534655 996867,1534194 997062,"
100127,100650,1,"1533420 997401,"
102554,100650,5,"1533713 997653,1533707 997609,1533700 997565,1533692 997521,1533682 997477,"
100650,100651,2,"1534194 997062,1534655 996867,"
100652,100651,2,"1536996 995898,1536221 996241,"
100653,100652,1,"1537671 995623,"
100651,100652,2,"1536221 996241,1536996 995898,"
100652,100653,1,"1537671 995623,"
100654,100653,3,"1538328 996876,1538328 996875,1538293 995430,"
100655,100653,5,"1544167 992892,1541320 994096,1541320 994097,1541200 994148,1538389 995373,"
100653,100654,3,"1538293 995430,1538328 996875,1538328 996876,"
100656,100655,4,"1548917 990844,1547716 991406,1546033 992126,1544939 992565,"
