name,node_id,zone_id,node_type,control_type,x_coord,y_coord,geometry
,103775,243,,,-84.3347656,40.77972832,
,103776,240,,,-84.33489047,40.81605818,
,103777,231,,,-84.30008082,40.76497351,
,103778,258,,,-84.34230132,40.84319007,
,103779,233,,,-84.28996976,40.78682446,
,103780,233,,,-84.28103386,40.77437054,
,103781,233,,,-84.28101887,40.77249255,
,103783,284,,,-84.30092158,40.81628031,
,103784,284,,,-84.29168858,40.82357131,
,103785,240,,,-84.30972156,40.81621127,
,103786,240,,,-84.28963969,40.8032334,
,103787,239,,,-84.29000669,40.8017284,
,103788,290,,,-84.2749939,40.82968038,
,103789,290,,,-84.2628366,40.82955888,
,103790,290,,,-84.26817064,40.82364526,
,103791,286,,,-84.3200114,40.84675312,
,103792,287,,,-84.31186142,40.84693215,
,103793,284,,,-84.32006345,40.83482117,
,103794,286,,,-84.31981043,40.83926315,
,103795,285,,,-84.31053947,40.8350372,
,103796,0,,,-84.32956133,40.85938104,
,103797,288,,,-84.31993235,40.85863408,
,103798,288,,,-84.31017441,40.84964015,
,103799,0,,,-84.32105235,40.85963207,
,103800,0,,,-84.32123435,40.85944807,
,103801,288,,,-84.32012835,40.85845608,
,103802,288,,,-84.3115944,40.85054014,
,103803,265,,,-84.32950937,40.84672509,
,103804,287,,,-84.32435639,40.84650811,
,103805,280,,,-84.33137841,40.83585812,
,103806,280,,,-84.32609143,40.83525414,
,103807,274,,,-84.32937139,40.8433061,
,103808,286,,,-84.32386441,40.84107913,
,103809,286,,,-84.32270942,40.84058414,
,103810,268,,,-84.33967636,40.84375706,
,103811,265,,,-84.33978535,40.84713905,
,103812,278,,,-84.33573937,40.84278408,
,103813,263,,,-84.33979532,40.85524502,
,103814,211,,,-84.22311336,40.72350755,
,103815,269,,,-84.33707056,40.84378763,
,103816,278,,,-84.33574737,40.84377608,
,103817,273,,,-84.33700837,40.84274908,
,103818,280,,,-84.3350224,40.83582011,
,103819,280,,,-84.33499893,40.83665632,
,103820,279,,,-84.33963238,40.83678009,
,103821,279,,,-84.33966537,40.84070508,
,103822,262,,,-84.34195517,40.84717878,
,103823,272,,,-84.33967236,40.84186807,
,103824,268,,,-84.34037236,40.84374006,
,103825,270,,,-84.33967836,40.84273207,
