name,link_id,from_node_id,to_node_id,facility_type,dir_flag,length,lanes,capacity,free_speed,link_type,cost,VDF_cap1,VDF_alpha1,VDF_beta1,VDF_PHF1,VDF_gamma1,VDF_mu1
NAPOLEON RD,5163,103998,104052,arterial,1,0.134469697,1,1800,29,1,,1800,0.25,3,1,1,100
0,5164,103999,275,hot,1,0.030113636,1,1800,25,99,,1800,0.15,4,1,1,100
ELIDA RD,5165,103999,103804,highway,1,0.086363636,1,1657,37,1,,1657,0.15,4,1,1,100
ELIDA RD,5166,103999,104003,highway,1,0.236174242,1,1800,35,1,,1800,0.15,4,1,1,100
SWANEY RD,5167,104000,103998,arterial,1,0.402462121,1,1560,39,1,,1560,0.25,3,1,1,100
SWANEY RD,5168,104000,104198,arterial,1,0.021212121,1,1560,39,1,,1560,0.25,3,1,1,100
PHILLIPS RD,5169,104001,104002,arterial,1,0.506628788,1,1560,39,1,,1560,0.25,3,1,1,100
LAFAYETTE RD,5170,104001,104005,arterial,1,0.418181818,1,1800,39,1,,1800,0.25,3,1,1,100
PHILLIPS RD,5171,104001,104053,arterial,1,0.50094697,1,1800,39,1,,1800,0.25,3,1,1,100
LAFAYETTE RD,5172,104001,104169,arterial,1,0.25,1,1560,39,1,,1560,0.25,3,1,1,100
PHILLIPS RD,5173,104002,104001,arterial,1,0.506628788,1,1560,39,1,,1560,0.25,3,1,1,100
PHILLIPS RD,5174,104002,104327,arterial,1,0.376893939,1,1734,37,1,,1734,0.25,3,1,1,100
0,5175,104003,276,hot,1,0.034848485,1,1800,25,99,,1800,0.15,4,1,1,100
ELIDA RD,5176,104003,103809,highway,1,0.103030303,1,1734,55,1,,1734,0.15,4,1,1,100
ELIDA RD,5177,104003,103999,highway,1,0.236174242,1,1734,53,1,,1734,0.15,4,1,1,100
0,5178,104004,358,hot,1,0.391666667,1,1800,25,99,,1800,0.15,4,1,1,100
SR-309,5179,104004,103535,highway,1,0.482386364,1,1800,55,1,,1800,0.15,4,1,1,100
SR-309,5180,104004,104160,highway,1,1.356060606,1,1481,55,1,,1481,0.15,4,1,1,100
0,5181,104005,352,hot,1,0.209280303,1,1800,25,99,,1800,0.15,4,1,1,100
LAFAYETTE RD,5182,104005,104001,arterial,1,0.418181818,1,1560,39,1,,1560,0.25,3,1,1,100
LAFAYETTE RD,5183,104005,104170,arterial,1,0.178219697,1,1560,33,1,,1560,0.25,3,1,1,100
MAYBERRY RD,5184,104006,104008,arterial,1,0.017613636,1,2112,37,1,,2112,0.25,3,1,1,100
MAYBERRY RD,5185,104006,104014,arterial,1,0.06780303,1,1560,37,1,,1560,0.25,3,1,1,100
US-30,5186,104006,104064,freeway,1,1.252272727,2,4224,68,1,,4224,0.15,4,1,1,100
US-30,5187,104007,104006,freeway,1,0.757765152,2,4224,68,1,,4224,0.15,4,1,1,100
THAYER RD,5188,104007,104009,arterial,1,0.016477273,1,1618,39,1,,1618,0.25,3,1,1,100
THAYER RD,5189,104007,104189,arterial,1,0.049242424,1,1560,39,1,,1560,0.25,3,1,1,100
MAYBERRY RD,5190,104008,104006,arterial,1,0.017613636,1,1618,37,1,,1618,0.25,3,1,1,100
US-30,5191,104008,104009,freeway,1,0.760037879,2,4224,68,1,,4224,0.15,4,1,1,100
MAYBERRY RD,5192,104008,104073,arterial,1,0.066098485,1,1618,37,1,,1618,0.25,3,1,1,100
Thayer,5193,104009,100141,arterial,1,0.46969697,1,1618,37,1,,1618,0.25,3,1,1,100
THAYER RD,5194,104009,104007,arterial,1,0.016477273,1,2112,39,1,,2112,0.25,3,1,1,100
US-30,5195,104009,104245,freeway,1,0.852840909,2,4224,68,1,,4224,0.15,4,1,1,100
0,5196,104010,304,hot,1,0.60719697,1,1800,25,99,,1800,0.15,4,1,1,100
SR-65,5197,104010,104025,highway,1,1.070643939,1,1618,53,1,,1618,0.15,4,1,1,100
SR-65,5198,104010,104059,highway,1,0.521590909,1,1800,53,1,,1800,0.15,4,1,1,100
0,5199,104011,338,hot,1,0.253598485,1,1800,25,99,,1800,0.15,4,1,1,100
SR-103,5200,104011,104369,arterial,1,0.135795455,1,1734,33,1,,1734,0.25,3,1,1,100
SR-103,5201,104011,104373,arterial,1,0.143181818,1,1734,33,1,,1734,0.25,3,1,1,100
0,5202,104012,303,hot,1,0.258901515,1,1800,25,99,,1800,0.15,4,1,1,100
STEWART RD,5203,104012,104013,arterial,1,0.348106061,1,1676,37,1,,1676,0.25,3,1,1,100
STEWART RD,5204,104012,104071,arterial,1,0.18030303,1,1734,39,1,,1734,0.25,3,1,1,100
